type,model,created_at,usage_input,usage_output
third,model3,11.03.2024,8324,5572
third,model3,10.04.2024,3072,5752
third,model2,21.01.2024,259,1041
second,model3,02.02.2024,7445,5571
first,model3,01.03.2024,2378,6190
third,model2,10.05.2024,7960,9079
third,model1,19.03.2024,3703,4753
third,model1,13.04.2024,1468,6624
second,model1,08.02.2024,5829,9203
first,model3,04.01.2024,4965,790
second,model1,27.04.2024,202,5993
third,model3,12.05.2024,3043,8483
third,model3,28.03.2024,1530,2106
third,model2,08.01.2024,2451,9438
third,model3,11.02.2024,5428,2994
third,model3,23.01.2024,9949,2692
third,model1,07.04.2024,9997,2994
third,model2,24.03.2024,1000,977
first,model3,01.01.2024,3520,5157
first,model3,21.03.2024,2903,5675
third,model1,21.02.2024,9513,6629
third,model3,29.03.2024,53,6388
third,model1,04.03.2024,3115,4379
third,model3,21.03.2024,7400,895
third,model1,17.01.2024,5308,3199
first,model3,10.03.2024,6972,7758
second,model2,10.03.2024,2501,6005
second,model2,03.01.2024,7241,4766
third,model1,08.04.2024,632,7469
third,model2,07.01.2024,9031,7607
third,model2,13.05.2024,891,5116
first,model1,17.04.2024,9119,5845
third,model2,25.04.2024,9412,8206
second,model1,06.01.2024,3707,2728
first,model1,15.01.2024,3212,1830
first,model3,10.04.2024,8222,4548
second,model3,10.04.2024,4454,4808
first,model3,30.03.2024,3967,7875
second,model1,08.04.2024,1539,8823
second,model1,26.04.2024,713,4042
third,model1,29.02.2024,4618,7672
first,model1,16.02.2024,2382,7093
second,model3,22.03.2024,4052,5262
third,model2,12.04.2024,3327,3306
first,model1,10.01.2024,63,1157
first,model1,11.05.2024,4341,5628
first,model1,22.02.2024,8026,8615
third,model3,30.01.2024,1389,9265
second,model2,01.02.2024,9584,4449
first,model2,11.03.2024,1919,9076
third,model2,11.02.2024,5612,9076
third,model3,07.02.2024,4506,7161
third,model3,04.05.2024,9443,6742
first,model1,27.02.2024,1675,1849
second,model2,22.01.2024,2249,5644
second,model2,14.05.2024,9434,783
first,model1,24.03.2024,6511,8457
first,model2,03.02.2024,1946,8793
first,model3,11.05.2024,9438,5245
third,model2,30.03.2024,3391,4538
second,model3,26.01.2024,7093,669
third,model1,15.02.2024,7381,2463
first,model2,09.01.2024,3116,8344
second,model3,28.02.2024,4068,8321
third,model3,21.01.2024,1337,93
third,model3,15.05.2024,9381,6399
first,model3,25.01.2024,517,3730
first,model3,10.05.2024,998,6708
third,model2,23.02.2024,8472,6941
first,model3,01.05.2024,9304,2629
first,model2,09.02.2024,1454,3896
second,model3,30.03.2024,9527,8971
second,model1,01.05.2024,9365,36
third,model1,12.04.2024,2840,6035
third,model2,18.03.2024,409,2060
second,model2,01.02.2024,2109,4445
second,model3,01.02.2024,7195,9417
first,model2,27.01.2024,7007,6546
first,model1,12.05.2024,3642,8118
first,model2,03.05.2024,7715,1939
third,model2,09.05.2024,7206,6679
third,model3,19.04.2024,2581,431
third,model3,06.03.2024,9265,537
third,model3,09.04.2024,344,1624
first,model1,02.01.2024,6471,3340
first,model1,30.04.2024,9261,8098
third,model2,26.01.2024,416,9553
second,model1,10.03.2024,243,4360
first,model1,03.01.2024,9275,1873
second,model1,08.03.2024,2974,1933
third,model3,22.03.2024,3652,3874
second,model3,07.05.2024,4175,5588
second,model2,15.05.2024,5374,7860
first,model1,27.01.2024,7238,3879
third,model3,12.02.2024,1624,6519
third,model1,13.04.2024,7488,2081
third,model1,14.02.2024,7798,9577
second,model3,20.03.2024,5340,5497
second,model2,23.01.2024,6952,703
first,model1,02.03.2024,252,8711
second,model3,03.01.2024,5256,3455
first,model1,08.05.2024,7035,5950
first,model1,24.02.2024,403,8238
second,model1,20.04.2024,4216,5775
third,model1,31.03.2024,1193,7555
third,model1,22.01.2024,4099,2179
second,model3,04.05.2024,9016,7534
second,model3,02.02.2024,5430,3182
second,model3,22.02.2024,2055,9641
second,model2,06.01.2024,1990,7705
third,model2,13.04.2024,3677,616
first,model2,09.01.2024,3948,1570
second,model3,08.05.2024,4098,2139
second,model1,25.02.2024,963,7428
third,model1,29.02.2024,6042,7735
first,model2,23.03.2024,6251,6432
first,model1,24.01.2024,7000,6952
first,model3,01.01.2024,9658,6518
third,model1,18.02.2024,6936,2293
third,model3,10.03.2024,6260,8420
second,model1,13.03.2024,8544,3444
third,model3,23.01.2024,6115,3805
third,model2,15.05.2024,3419,1814
second,model1,17.04.2024,1023,4331
second,model1,09.01.2024,4575,662
second,model1,16.04.2024,7217,286
first,model2,20.03.2024,8653,6139
first,model1,22.02.2024,5569,4015
first,model2,29.02.2024,3415,4394
first,model1,11.02.2024,2030,5805
first,model3,23.01.2024,6990,2218
third,model2,10.05.2024,5878,9729
third,model1,02.03.2024,3810,7496
third,model2,13.02.2024,6609,4282
second,model2,09.02.2024,6810,7518
first,model2,22.03.2024,8142,2354
first,model3,06.03.2024,893,3828
first,model3,16.05.2024,4021,9564
third,model2,13.02.2024,63,4994
second,model1,18.04.2024,5456,8641
second,model2,12.05.2024,9583,5947
first,model2,11.05.2024,3423,770
third,model2,09.03.2024,7497,7368
first,model1,27.04.2024,5253,4361
second,model3,20.01.2024,3018,7368
first,model3,01.02.2024,4622,8452
third,model3,15.03.2024,2253,6756
second,model3,25.04.2024,8787,1326
second,model1,27.01.2024,4924,9295
third,model3,11.03.2024,1635,2647
third,model3,04.01.2024,3674,3866
third,model2,21.02.2024,6800,8461
second,model2,02.04.2024,2285,7305
second,model2,09.02.2024,770,575
first,model3,08.02.2024,8104,5263
second,model1,23.01.2024,8750,7503
first,model3,11.04.2024,1415,7457
second,model1,17.03.2024,2568,3584
first,model1,27.01.2024,1078,3330
third,model2,06.02.2024,8509,1800
second,model3,13.01.2024,4228,4282
first,model2,16.03.2024,8449,8903
first,model3,02.02.2024,1624,1783
first,model3,16.02.2024,7147,6349
second,model3,26.01.2024,3062,6117
first,model1,24.04.2024,7418,4726
second,model3,06.04.2024,9507,5142
first,model2,06.03.2024,2274,9278
second,model3,10.02.2024,830,623
third,model3,09.05.2024,3268,2306
third,model2,15.04.2024,7429,2382
second,model1,20.01.2024,3127,1128
second,model1,01.05.2024,528,4987
third,model2,27.02.2024,4308,6324
first,model2,19.04.2024,427,4930
first,model1,08.03.2024,3522,7941
second,model3,31.01.2024,2784,3452
first,model1,05.04.2024,335,567
second,model3,16.02.2024,2931,1907
second,model2,06.05.2024,6186,9791
first,model1,08.03.2024,3438,3712
first,model3,15.01.2024,3970,6105
third,model3,23.01.2024,1047,8457
first,model2,15.02.2024,7166,2276
third,model3,09.03.2024,7615,3513
second,model2,25.01.2024,5197,3909
first,model1,13.05.2024,8025,3539
third,model3,12.04.2024,8977,7291
first,model2,07.04.2024,7806,6857
third,model2,06.01.2024,6632,1497
second,model1,30.01.2024,510,6100
third,model2,21.01.2024,5450,762
second,model2,05.05.2024,6878,7678
second,model1,14.03.2024,780,4082
first,model3,11.03.2024,7305,3057
third,model1,20.03.2024,9760,5614
second,model3,27.03.2024,8553,4333
third,model1,14.04.2024,8670,4776
first,model2,16.04.2024,5031,4122
second,model2,11.04.2024,8584,4490
first,model3,11.05.2024,7100,4776
first,model1,31.01.2024,8102,4964
third,model2,10.04.2024,1867,9250
third,model1,22.01.2024,3818,1202
second,model3,06.04.2024,4882,3823
third,model3,06.02.2024,7942,5459
second,model3,24.03.2024,1178,1561
second,model3,02.03.2024,6709,6260
third,model3,26.01.2024,4610,743
first,model3,28.02.2024,476,9921
third,model1,17.02.2024,5953,3179
third,model2,02.04.2024,5474,3397
first,model1,13.02.2024,3380,9149
first,model2,13.02.2024,7283,453
first,model1,24.01.2024,3952,337
first,model1,29.03.2024,2712,118
first,model1,25.02.2024,5327,2518
first,model1,25.01.2024,1818,7648
first,model1,24.02.2024,7031,7303
third,model1,24.03.2024,1846,2308
third,model1,26.01.2024,365,1091
first,model3,05.04.2024,5797,6040
third,model3,05.05.2024,7985,8576
first,model1,12.03.2024,4568,8617
second,model3,30.03.2024,1748,3190
first,model1,22.03.2024,9673,1995
first,model3,21.04.2024,470,9255
first,model2,02.01.2024,6017,1211
third,model1,11.04.2024,2436,4741
second,model1,10.05.2024,5091,6965
third,model1,27.03.2024,6532,8965
third,model2,22.04.2024,9341,4190
first,model2,21.04.2024,3133,8601
first,model3,18.01.2024,8968,9438
first,model3,04.01.2024,1854,1987
first,model3,29.03.2024,4040,4166
second,model1,23.02.2024,5263,8918
first,model3,27.01.2024,7619,7515
second,model2,25.01.2024,5542,4116
second,model3,25.03.2024,7008,547
first,model2,03.03.2024,6016,8247
third,model3,28.02.2024,808,672
third,model3,02.05.2024,8716,5045
third,model3,08.01.2024,7248,6585
third,model3,30.03.2024,7009,8943
third,model3,28.03.2024,5727,7396
first,model2,14.05.2024,3458,982
second,model2,17.01.2024,6288,4211
second,model1,25.04.2024,7149,1843
third,model3,01.04.2024,7468,3720
second,model3,31.03.2024,6427,6264
second,model3,21.02.2024,8669,643
second,model2,31.03.2024,9793,18
second,model1,25.02.2024,2155,319
first,model3,25.03.2024,7401,7307
third,model3,29.02.2024,5337,9604
third,model3,13.03.2024,9834,1858
third,model3,07.02.2024,8428,303
third,model3,10.04.2024,8425,3517
second,model1,09.02.2024,80,2150
third,model3,17.04.2024,7216,8158
third,model2,12.04.2024,7986,1488
second,model2,11.01.2024,32,7114
first,model1,28.02.2024,21,1194
first,model1,12.01.2024,118,823
third,model3,10.03.2024,4256,9763
third,model3,09.01.2024,2443,5159
second,model3,23.04.2024,8614,9735
second,model3,12.02.2024,7916,788
second,model3,14.02.2024,5631,2812
third,model3,14.02.2024,6114,4287
second,model3,08.01.2024,900,5102
third,model3,02.05.2024,9279,8957
third,model2,10.02.2024,4864,2660
second,model2,02.03.2024,845,3413
second,model3,16.04.2024,2742,1283
first,model3,06.04.2024,4625,8405
second,model2,09.05.2024,7987,2237
third,model2,11.04.2024,5811,3931
second,model3,08.03.2024,7205,7539
first,model2,18.02.2024,2520,7182
third,model2,08.05.2024,2828,7505
second,model1,11.02.2024,3659,2505
third,model2,29.01.2024,62,4123
first,model1,01.03.2024,4478,6020
second,model2,11.05.2024,1966,1310
third,model1,01.01.2024,6268,9802
second,model2,24.02.2024,7187,1348
second,model3,12.03.2024,6227,8365
first,model1,04.04.2024,2606,9511
second,model3,29.04.2024,1160,5905
first,model1,23.03.2024,9323,9809
second,model3,22.01.2024,9874,7912
third,model3,07.03.2024,424,1797
second,model1,16.05.2024,8739,6915
second,model1,10.04.2024,7916,2360
first,model2,28.01.2024,2898,1511
second,model3,06.05.2024,9266,7680
first,model3,15.03.2024,5651,1919
third,model2,08.05.2024,4467,3737
first,model3,09.04.2024,8475,6294
first,model2,19.03.2024,6340,8192
third,model1,26.01.2024,9141,8553
third,model2,22.01.2024,6014,9996
third,model3,22.03.2024,5320,8053
third,model3,26.01.2024,5369,498
third,model3,26.01.2024,7639,9600
third,model3,07.01.2024,7032,9944
third,model1,14.05.2024,9464,849
first,model1,12.03.2024,2107,8598
third,model2,13.02.2024,1811,4005
third,model1,16.01.2024,1608,2563
second,model3,01.01.2024,8060,5340
first,model2,23.03.2024,9557,7793
second,model3,28.01.2024,3792,4650
first,model3,15.04.2024,7493,2058
second,model1,09.04.2024,752,5101
third,model3,07.03.2024,4737,1286
first,model3,07.04.2024,9589,6513
first,model3,23.04.2024,8087,8011
third,model2,29.01.2024,7527,3962
first,model2,06.05.2024,1492,721
third,model3,13.04.2024,622,5921
first,model3,18.01.2024,913,5286
third,model2,16.04.2024,9408,1049
first,model1,08.05.2024,3433,1243
third,model2,23.02.2024,4517,7621
second,model2,20.02.2024,608,1066
second,model2,23.03.2024,3458,4492
second,model2,03.04.2024,3476,3345
second,model2,03.02.2024,8931,3696
third,model2,30.04.2024,6933,7430
first,model2,11.04.2024,2299,9739
third,model1,13.05.2024,1765,3560
first,model2,16.05.2024,2883,4077
second,model1,06.05.2024,5465,6731
second,model1,04.04.2024,824,568
second,model1,02.05.2024,5719,9837
second,model3,06.01.2024,4690,2050
third,model3,20.04.2024,3518,8286
second,model2,10.01.2024,96,4440
second,model3,15.05.2024,4363,7080
first,model1,07.02.2024,2137,7810
third,model2,29.04.2024,4201,63
third,model2,13.05.2024,2135,5628
first,model3,11.04.2024,2655,1225
second,model1,05.02.2024,382,2632
first,model3,15.04.2024,3683,4961
third,model3,05.03.2024,593,7225
third,model3,27.04.2024,6831,3240
second,model3,06.03.2024,7552,2070
first,model1,08.04.2024,6565,4691
third,model1,02.03.2024,8714,9117
third,model2,29.04.2024,3637,3288
third,model1,05.02.2024,2054,4573
first,model3,10.04.2024,9903,9005
third,model2,22.03.2024,8682,1449
second,model3,01.03.2024,4609,6616
second,model3,24.02.2024,2989,9568
third,model3,11.04.2024,6346,6428
second,model1,19.01.2024,1657,8656
first,model2,15.05.2024,9340,1683
third,model1,03.05.2024,2541,9501
first,model1,12.05.2024,3237,201
first,model3,22.02.2024,9908,3327
second,model3,31.03.2024,8943,2995
first,model3,22.02.2024,9297,826
third,model3,17.01.2024,4583,2653
third,model1,29.01.2024,8367,9547
first,model2,28.04.2024,953,2979
first,model1,26.01.2024,1930,843
third,model2,12.01.2024,9096,6291
first,model3,22.01.2024,1148,2367
first,model3,09.04.2024,6586,5560
first,model2,06.03.2024,6065,3233
first,model1,10.01.2024,5676,5820
first,model1,14.01.2024,446,7539
third,model3,17.03.2024,5629,6106
first,model2,17.04.2024,7269,8578
first,model3,18.03.2024,328,8612
second,model1,27.01.2024,4627,9311
third,model1,03.04.2024,7694,4517
third,model2,22.03.2024,1710,530
first,model2,07.05.2024,6894,1386
first,model1,29.04.2024,7916,1248
third,model2,17.04.2024,8286,1159
third,model1,01.03.2024,9245,7505
second,model3,26.04.2024,4703,5706
second,model1,05.03.2024,8544,5923
first,model3,06.05.2024,1853,9753
third,model3,18.03.2024,3445,1668
second,model2,21.04.2024,8049,1822
first,model3,08.02.2024,336,4903
second,model3,16.05.2024,8524,7552
third,model1,13.01.2024,5296,7502
second,model3,05.05.2024,5317,2862
third,model1,14.02.2024,5442,2820
second,model1,30.04.2024,1091,6584
third,model3,28.01.2024,5551,6419
first,model3,17.02.2024,6771,4205
second,model2,28.04.2024,5971,5870
second,model3,22.04.2024,9441,2606
first,model1,12.03.2024,5699,81
third,model2,15.01.2024,6056,5654
second,model2,02.02.2024,6805,6395
second,model1,28.04.2024,7037,3083
first,model1,14.05.2024,1614,1735
second,model1,16.05.2024,1039,9295
first,model3,13.01.2024,8685,6439
first,model3,18.04.2024,5175,5011
third,model2,08.05.2024,7136,2103
third,model1,26.04.2024,4294,6110
first,model3,16.04.2024,4618,4951
third,model1,17.01.2024,4059,7454
first,model1,01.01.2024,6360,2089
first,model3,23.01.2024,4543,188
third,model1,26.01.2024,3178,4637
first,model3,07.04.2024,3725,2178
second,model3,13.01.2024,2340,3
second,model2,27.02.2024,1293,1640
third,model3,05.01.2024,9023,3470
first,model3,08.04.2024,378,7665
first,model3,06.02.2024,7528,5349
second,model1,24.01.2024,423,8189
second,model2,02.02.2024,5533,3098
first,model2,26.02.2024,174,2739
second,model1,19.04.2024,8011,2594
second,model1,05.03.2024,7957,2537
first,model3,02.02.2024,7051,7525
first,model2,17.03.2024,5811,1957
third,model3,01.05.2024,4048,1999
second,model1,24.02.2024,3136,6019
first,model1,26.03.2024,4582,2533
first,model2,29.02.2024,3885,1318
second,model3,07.05.2024,2813,7917
second,model1,14.04.2024,6401,4782
first,model1,29.04.2024,6106,6765
third,model2,03.03.2024,7434,9172
second,model1,23.04.2024,5867,9833
third,model2,31.01.2024,1385,7305
first,model1,15.04.2024,7070,5414
first,model1,25.01.2024,8728,842
first,model2,29.03.2024,7167,4409
second,model2,24.03.2024,9759,142
first,model3,01.01.2024,1738,8691
third,model2,22.04.2024,4551,424
first,model1,18.04.2024,1621,2492
first,model1,28.01.2024,1997,1710
second,model1,29.04.2024,5437,2429
second,model1,01.03.2024,6457,9766
second,model1,24.02.2024,2485,9255
first,model1,07.02.2024,5693,9788
first,model1,11.01.2024,1128,3759
third,model1,04.02.2024,9429,2570
first,model1,28.01.2024,7808,1603
third,model1,21.04.2024,7330,1765
first,model2,08.01.2024,1947,49
second,model3,04.02.2024,1947,3503
third,model3,12.03.2024,6642,1464
third,model3,13.04.2024,6824,2198
third,model1,27.01.2024,7932,3206
first,model2,21.02.2024,1793,4828
first,model3,19.04.2024,4837,424
third,model3,24.04.2024,337,7206
third,model1,07.03.2024,3815,8272
third,model3,12.03.2024,8964,8125
third,model1,10.03.2024,400,9752
first,model3,16.04.2024,5475,8769
first,model2,28.02.2024,137,176
first,model2,24.04.2024,211,7997
first,model1,17.03.2024,7507,4455
second,model1,21.02.2024,6577,3015
third,model3,20.01.2024,2678,71
second,model1,24.02.2024,6599,5477
third,model1,04.05.2024,5369,7717
third,model3,16.04.2024,8116,7758
second,model3,06.05.2024,8797,1964
second,model2,07.01.2024,5925,4301
second,model2,29.02.2024,9116,3129
second,model1,07.01.2024,1533,131
first,model3,25.03.2024,4848,3642
second,model2,16.05.2024,3158,2351
third,model3,07.05.2024,538,8027
third,model2,14.03.2024,4753,4328
second,model1,02.04.2024,2493,9848
third,model3,16.03.2024,6129,775
third,model3,31.03.2024,9549,6937
third,model3,27.01.2024,307,6637
first,model2,05.05.2024,1020,8080
second,model2,29.03.2024,2434,4080
third,model3,09.01.2024,7910,2963
third,model3,06.02.2024,3835,440
second,model1,16.04.2024,3483,4362
first,model3,08.01.2024,8581,4687
first,model1,27.04.2024,7393,5794
third,model3,18.01.2024,4931,6465
first,model1,13.05.2024,1988,8305
second,model2,29.02.2024,2055,7226
third,model1,06.04.2024,7860,6320
third,model3,23.01.2024,748,7522
first,model3,29.01.2024,4287,1031
first,model1,02.04.2024,6070,6676
third,model3,10.04.2024,7709,5350
second,model3,26.02.2024,4391,2059
third,model2,08.05.2024,758,7417
third,model1,09.02.2024,8882,9367
third,model1,08.03.2024,9295,8643
third,model1,19.02.2024,844,1821
second,model1,30.03.2024,3221,9230
first,model2,11.02.2024,7233,7501
first,model2,16.05.2024,3992,5504
second,model1,16.04.2024,3474,61
third,model2,15.03.2024,1497,6506
first,model3,03.02.2024,6967,225
third,model3,05.03.2024,6330,9088
second,model1,20.01.2024,1133,1916
first,model1,03.04.2024,1241,547
first,model3,07.04.2024,2716,9351
first,model3,04.02.2024,8658,6307
first,model3,09.04.2024,6704,7641
second,model1,28.03.2024,8690,5661
third,model1,09.03.2024,295,2076
second,model3,24.02.2024,7712,6552
second,model1,11.02.2024,976,1402
third,model3,07.03.2024,8908,4336
second,model2,22.04.2024,7067,4736
first,model3,14.01.2024,7347,5828
second,model3,21.03.2024,4124,9464
third,model3,07.05.2024,1799,2026
third,model1,10.01.2024,9674,2047
first,model1,14.04.2024,7118,7616
first,model3,08.05.2024,9732,7326
third,model3,04.02.2024,5046,8870
second,model2,09.04.2024,8015,698
first,model3,19.03.2024,8538,9434
first,model1,22.04.2024,1911,717
second,model1,02.05.2024,3356,1871
third,model2,05.02.2024,4842,7099
first,model1,01.03.2024,3919,2181
first,model3,19.04.2024,7809,8907
second,model3,09.02.2024,1342,7706
third,model2,18.01.2024,4420,4631
second,model3,12.05.2024,4621,3661
second,model3,03.04.2024,7938,8500
second,model1,07.02.2024,5907,1488
first,model3,03.03.2024,4482,8516
third,model3,29.02.2024,7795,8537
second,model3,13.05.2024,2730,1517
first,model1,10.04.2024,7966,5486
first,model1,04.04.2024,7644,3987
third,model1,31.03.2024,7408,714
second,model2,11.03.2024,9046,400
first,model1,16.04.2024,6037,5743
second,model2,15.03.2024,9700,8389
second,model3,06.04.2024,6558,657
third,model2,09.03.2024,9590,9359
third,model2,13.04.2024,1385,5807
third,model3,03.01.2024,9696,3777
first,model1,11.04.2024,5019,459
third,model1,23.01.2024,4272,5436
third,model3,05.02.2024,1875,1699
first,model2,01.05.2024,2621,6632
second,model2,26.02.2024,3683,6557
second,model3,14.04.2024,7939,183
second,model3,17.03.2024,6308,5851
third,model1,07.05.2024,2349,7022
third,model3,06.01.2024,6196,7024
second,model1,26.01.2024,8578,6962
first,model1,05.02.2024,8501,2155
third,model2,26.02.2024,9291,9510
second,model3,12.04.2024,3078,6736
first,model3,07.03.2024,4422,2368
first,model1,09.02.2024,6574,4957
third,model1,04.03.2024,4957,5866
second,model1,28.01.2024,865,5866
third,model1,05.02.2024,4476,793
third,model3,06.02.2024,9825,2927
third,model2,13.04.2024,8381,3981
second,model3,02.05.2024,5466,4875
first,model2,13.03.2024,5286,8490
second,model3,29.03.2024,5650,8564
second,model3,24.01.2024,4590,4524
second,model1,11.04.2024,7337,784
third,model1,10.01.2024,2537,8797
second,model1,10.01.2024,6354,2769
second,model2,11.04.2024,9110,6224
second,model2,17.04.2024,3017,6779
third,model2,01.02.2024,6931,3423
third,model1,22.01.2024,7096,8684
third,model1,17.04.2024,6617,3744
second,model2,20.03.2024,2490,9420
first,model2,07.01.2024,871,1437
third,model3,03.03.2024,8228,3293
third,model2,14.01.2024,1869,9319
first,model2,11.01.2024,3671,1884
second,model1,03.01.2024,7682,9107
third,model3,18.04.2024,4787,3454
first,model2,05.05.2024,4601,8780
first,model2,30.03.2024,5862,806
second,model3,01.01.2024,4650,9844
first,model1,18.01.2024,5656,9312
third,model1,10.02.2024,7301,2237
third,model2,15.03.2024,502,1585
second,model2,29.03.2024,2866,3322
first,model3,09.03.2024,8518,2284
first,model3,19.04.2024,8119,1881
third,model2,15.03.2024,3812,6542
second,model3,28.01.2024,1941,9531
first,model2,01.02.2024,1195,3072
third,model1,06.03.2024,5905,1973
first,model1,28.03.2024,9131,9023
third,model3,09.04.2024,2068,3168
second,model2,10.03.2024,5047,6833
third,model2,11.05.2024,8128,804
first,model2,07.03.2024,4134,6038
second,model3,03.01.2024,4730,3716
second,model1,08.04.2024,8707,2318
first,model3,08.02.2024,9091,8713
first,model2,09.03.2024,3045,3971
third,model1,03.05.2024,7492,4936
second,model2,09.04.2024,3165,5019
third,model2,25.04.2024,9272,2151
second,model2,09.04.2024,9545,2846
third,model3,07.04.2024,7441,4613
third,model3,08.04.2024,4357,6795
third,model1,15.03.2024,8587,4877
third,model1,13.02.2024,647,4595
second,model1,12.01.2024,1971,7019
second,model2,06.01.2024,5333,6300
third,model2,31.01.2024,6626,7667
second,model2,20.04.2024,7140,6886
first,model2,02.03.2024,6863,7422
third,model2,12.02.2024,8271,8328
second,model2,14.04.2024,9955,153
third,model2,11.03.2024,7767,5907
third,model3,03.04.2024,3908,2032
third,model1,25.02.2024,3388,5349
first,model1,04.03.2024,1395,4137
third,model2,09.01.2024,7497,4309
first,model1,14.02.2024,6887,8029
second,model2,16.04.2024,3630,291
third,model1,08.02.2024,6364,8656
first,model3,13.05.2024,871,7948
second,model3,06.02.2024,6359,5792
third,model1,25.04.2024,5281,81
second,model2,05.05.2024,3481,4097
third,model3,02.05.2024,6085,4462
second,model2,11.02.2024,3202,6721
second,model2,03.05.2024,2540,7728
first,model1,21.04.2024,4693,7029
first,model2,22.03.2024,6369,7654
first,model3,26.04.2024,4310,1940
first,model3,11.03.2024,6138,5713
first,model1,25.04.2024,7766,7705
third,model2,14.03.2024,856,1867
first,model2,19.01.2024,1504,9990
second,model2,07.01.2024,4956,5017
third,model1,21.03.2024,6340,2501
first,model3,12.05.2024,7016,5225
first,model2,22.03.2024,8495,8727
third,model3,08.01.2024,4212,2534
third,model3,09.05.2024,3468,9605
first,model1,05.05.2024,1531,205
first,model1,12.02.2024,1422,8606
second,model3,11.01.2024,1597,983
first,model2,22.02.2024,6657,4516
second,model2,06.02.2024,1493,9661
third,model1,16.04.2024,3226,9692
third,model2,28.03.2024,9547,884
third,model1,17.03.2024,6072,739
third,model3,14.05.2024,6040,7849
second,model2,20.02.2024,3034,2519
second,model2,28.03.2024,6748,9770
third,model3,08.04.2024,2673,5722
third,model3,25.03.2024,459,8070
first,model3,23.02.2024,9296,9903
first,model3,20.02.2024,6073,9176
third,model1,01.01.2024,320,301
first,model1,22.04.2024,1943,5613
first,model2,08.03.2024,4256,9607
first,model3,29.02.2024,5038,9640
first,model3,19.04.2024,7045,8294
second,model3,19.02.2024,6005,9293
third,model3,20.03.2024,6114,8178
first,model1,22.01.2024,4423,3281
third,model1,26.01.2024,638,5058
first,model2,02.04.2024,9763,4758
second,model3,26.03.2024,3644,3945
third,model3,21.04.2024,9722,1479
second,model3,26.01.2024,3188,5066
first,model3,03.01.2024,9650,4397
second,model1,17.02.2024,6925,8492
second,model2,11.04.2024,131,1297
second,model2,08.02.2024,9642,8794
second,model3,07.01.2024,7024,9156
second,model1,16.04.2024,9879,5594
third,model1,12.04.2024,9463,4009
third,model1,31.03.2024,2803,5435
second,model2,27.01.2024,2510,2877
third,model3,02.02.2024,4842,9119
first,model2,12.03.2024,9072,5868
third,model1,05.04.2024,2234,7654
second,model1,12.03.2024,4419,3987
second,model3,18.03.2024,9187,4215
third,model1,03.01.2024,559,533
second,model3,15.01.2024,8508,8802
third,model1,23.01.2024,1448,7602
third,model1,09.01.2024,4445,1506
second,model1,08.02.2024,5249,5641
third,model2,31.01.2024,7788,1335
first,model3,17.03.2024,8420,2639
third,model3,28.01.2024,7375,2076
second,model1,11.02.2024,8942,8574
second,model3,07.04.2024,4934,7061
third,model2,14.04.2024,5648,506
first,model2,14.04.2024,7775,7197
third,model1,06.02.2024,1556,1073
first,model1,09.04.2024,1858,6769
first,model3,22.04.2024,6409,2487
second,model1,01.05.2024,4334,5023
third,model2,16.04.2024,7788,6274
first,model2,18.02.2024,1895,9114
second,model3,26.03.2024,5315,6823
third,model3,15.04.2024,9160,2345
third,model2,11.03.2024,6365,6332
first,model3,22.02.2024,5384,7505
second,model2,05.01.2024,563,2511
third,model2,09.02.2024,3313,9571
third,model2,12.01.2024,2436,4933
third,model3,26.03.2024,7642,4126
third,model1,12.04.2024,9589,8351
third,model2,31.03.2024,91,8203
first,model1,08.03.2024,9431,4914
first,model3,02.02.2024,5257,6407
first,model2,01.01.2024,3256,7753
second,model2,03.03.2024,6007,6105
first,model2,06.01.2024,255,7213
third,model2,13.01.2024,3414,418
third,model1,30.04.2024,7882,5034
second,model2,11.03.2024,8290,3976
third,model3,09.04.2024,1454,1451
third,model2,19.01.2024,9866,5432
third,model3,21.03.2024,57,8636
second,model2,30.03.2024,3090,8259
first,model2,16.05.2024,7191,1081
second,model2,17.02.2024,8502,7288
third,model2,08.02.2024,3469,2764
third,model1,08.03.2024,8506,7944
third,model2,02.04.2024,3413,2228
first,model1,19.03.2024,5109,4886
second,model1,17.04.2024,1100,7814
second,model3,11.02.2024,3681,7716
third,model2,02.04.2024,2216,2019
first,model3,06.01.2024,7052,512
third,model2,27.02.2024,9972,2814
third,model1,01.02.2024,1477,6876
first,model1,14.02.2024,1728,710
third,model2,19.04.2024,2012,4887
third,model3,15.03.2024,9173,701
first,model3,10.03.2024,1462,7915
first,model1,01.04.2024,1228,4252
third,model3,29.04.2024,2586,7958
third,model2,26.02.2024,9331,4454
second,model2,17.01.2024,1741,1161
second,model3,20.02.2024,6539,7450
first,model1,15.03.2024,3210,5209
first,model2,13.03.2024,1412,6870
second,model1,21.03.2024,313,1169
second,model2,03.02.2024,6832,9478
third,model1,22.02.2024,7771,6128
second,model2,06.02.2024,8025,8133
first,model3,09.02.2024,7117,1976
third,model2,27.03.2024,2432,9648
second,model1,03.01.2024,3746,5773
first,model3,20.02.2024,4215,8632
second,model2,11.01.2024,3118,3983
second,model1,23.04.2024,6013,2034
second,model3,10.01.2024,8493,8994
second,model3,22.04.2024,9887,9394
second,model2,30.04.2024,2044,1508
third,model2,02.02.2024,469,6548
second,model2,04.04.2024,790,8831
second,model1,24.02.2024,5581,2127
third,model3,24.03.2024,996,2193
second,model1,20.04.2024,9718,7918
